clip	duration[ms]
common_voice_en_40949614.mp3	3888
common_voice_en_41196979.mp3	13716
common_voice_en_41119119.mp3	6336
common_voice_en_40977373.mp3	6768
common_voice_en_40910100.mp3	4536
common_voice_en_40918319.mp3	3708
common_voice_en_41080077.mp3	9288
common_voice_en_40985188.mp3	6840
common_voice_en_41068982.mp3	3744
common_voice_en_41020890.mp3	4212
common_voice_en_40897448.mp3	6948
common_voice_en_40885790.mp3	11520
common_voice_en_41079164.mp3	5076
common_voice_en_41147663.mp3	5184
common_voice_en_41112285.mp3	9000
common_voice_en_41034815.mp3	3456
common_voice_en_41096074.mp3	6840
common_voice_en_40967222.mp3	4356
common_voice_en_40990032.mp3	7128
common_voice_en_41092887.mp3	5256
common_voice_en_41227116.mp3	6480
common_voice_en_41025139.mp3	5220
common_voice_en_40976000.mp3	3996
common_voice_en_41085070.mp3	8460
common_voice_en_40933904.mp3	4176
common_voice_en_40958512.mp3	5148
common_voice_en_40908547.mp3	4536
common_voice_en_41145640.mp3	5940
common_voice_en_41118799.mp3	3960
common_voice_en_40893114.mp3	4464
common_voice_en_40958627.mp3	3960
common_voice_en_41050458.mp3	4248
common_voice_en_41114091.mp3	5688
common_voice_en_41138889.mp3	9432
common_voice_en_41177601.mp3	7380
common_voice_en_40925766.mp3	10260
common_voice_en_41194008.mp3	7740
common_voice_en_41067496.mp3	5652
common_voice_en_40916127.mp3	4356
common_voice_en_40916104.mp3	3168
common_voice_en_41010390.mp3	7020
common_voice_en_41034446.mp3	4176
common_voice_en_41059921.mp3	8496
common_voice_en_40965685.mp3	2340
common_voice_en_40917053.mp3	5724
common_voice_en_41059817.mp3	4356
common_voice_en_40925731.mp3	9000
common_voice_en_40955430.mp3	4428
common_voice_en_41156831.mp3	5436
common_voice_en_40984706.mp3	5940
common_voice_en_41048778.mp3	4536
common_voice_en_41119371.mp3	2988
common_voice_en_40899049.mp3	7668
common_voice_en_41076104.mp3	5004
common_voice_en_40987145.mp3	6588
common_voice_en_41176718.mp3	6372
common_voice_en_41103307.mp3	9756
common_voice_en_41043506.mp3	5220
common_voice_en_41122031.mp3	7056
common_voice_en_40917141.mp3	7956
common_voice_en_41196942.mp3	2880
